Feature,Coefficient,Abs_Coefficient
PoolArea,85370.62819354076,85370.62819354076
HasPool,-72222.08513973895,72222.08513973895
PoolQC_Gd,-23000.139016156776,23000.139016156776
TotalSF,16186.323609639852,16186.323609639852
OverallQual,10948.493639220538,10948.493639220538
KitchenQual_TA,-10840.30702999143,10840.30702999143
BsmtQual_Gd,-10608.680351135125,10608.680351135125
KitchenQual_Gd,-10135.972496796581,10135.972496796581
BsmtQual_TA,-9870.193862000573,9870.193862000573
Condition2_PosN,-9048.973954972269,9048.973954972269
YearBuilt,8206.814642436466,8206.814642436466
ExterQual_TA,-7817.372249614175,7817.372249614175
ExterQual_Gd,-7815.23337151373,7815.23337151373
GrLivArea,7528.123704730122,7528.123704730122
2ndFlrSF,7474.022462696577,7474.022462696577
Neighborhood_StoneBr,6159.695045006894,6159.695045006894
BsmtFinSF1,6142.4591283919435,6142.4591283919435
LotArea,6050.451721805307,6050.451721805307
Neighborhood_NridgHt,6007.331190136597,6007.331190136597
OverallCond,5768.98043701173,5768.98043701173
TotRmsAbvGrd,5676.156934215797,5676.156934215797
Neighborhood_NoRidge,5428.953410438881,5428.953410438881
GarageArea,5037.104115941365,5037.104115941365
BsmtExposure_Gd,4477.753739974109,4477.753739974109
SaleCondition_Partial,4332.779265529125,4332.779265529125
BldgType_TwnhsE,-4298.157890400094,4298.157890400094
Exterior1st_BrkFace,4071.8507819959004,4071.8507819959004
Condition1_Norm,4040.7440606830555,4040.7440606830555
GarageQual_TA,-3624.9550929400684,3624.9550929400684
KitchenAbvGr,-3593.9174911752366,3593.9174911752366
BldgType_Twnhs,-3575.265103976952,3575.265103976952
PoolQC_Fa,-3426.119197875291,3426.119197875291
LandContour_HLS,3386.53275335833,3386.53275335833
Fireplaces,3372.2859625625824,3372.2859625625824
BedroomAbvGr,-3255.648597116564,3255.648597116564
MasVnrArea,3143.9768318033434,3143.9768318033434
Neighborhood_Crawfor,2983.9170738981584,2983.9170738981584
GarageCars,2928.1283119916216,2928.1283119916216
ScreenPorch,2921.483444094626,2921.483444094626
MSSubClass,-2872.5398859639845,2872.5398859639845
TotalBath,2792.9586176754374,2792.9586176754374
Functional_Typ,2742.617912123091,2742.617912123091
BsmtExposure_No,-2714.644022526456,2714.644022526456
RoofMatl_WdShngl,2602.9923580495038,2602.9923580495038
Neighborhood_NAmes,-2585.7772153431765,2585.7772153431765
GarageQual_Fa,-2511.7945443881854,2511.7945443881854
HouseStyle_2Story,-2445.2908695444357,2445.2908695444357
HouseStyle_1Story,2361.4253983286508,2361.4253983286508
Neighborhood_Edwards,-2350.3407365881208,2350.3407365881208
BsmtQual_Fa,-2332.9039477174683,2332.9039477174683
LandContour_Lvl,2266.325051891565,2266.325051891565
LotConfig_CulDSac,2205.3644920918446,2205.3644920918446
HeatingQC_Gd,-2181.469478408275,2181.469478408275
Neighborhood_Mitchel,-2067.8033356607043,2067.8033356607043
BsmtCond_TA,2064.3598245802305,2064.3598245802305
SaleCondition_Normal,2051.7610931120935,2051.7610931120935
SaleCondition_Alloca,2001.7340819862368,2001.7340819862368
Functional_Sev,-1912.92752544878,1912.92752544878
BldgType_Duplex,-1869.5132602066942,1869.5132602066942
RoofStyle_Shed,1866.097540119787,1866.097540119787
FireplaceQu_TA,1862.6259092068974,1862.6259092068974
LandSlope_Sev,-1852.9398927743355,1852.9398927743355
KitchenQual_Fa,-1815.3437045022945,1815.3437045022945
MSZoning_FV,1783.656250819409,1783.656250819409
Neighborhood_OldTown,-1759.4170564310248,1759.4170564310248
FireplaceQu_None,1758.4093415690293,1758.4093415690293
HouseAge,-1743.3140901640486,1743.3140901640486
Street_Pave,1723.233172888473,1723.233172888473
Condition2_RRAe,-1704.7123332883698,1704.7123332883698
Exterior2nd_Plywood,-1620.4851245226273,1620.4851245226273
IsRemodeled,1577.5046877659688,1577.5046877659688
WoodDeckSF,1552.3953813679084,1552.3953813679084
Exterior2nd_ImStucc,1543.5622612184345,1543.5622612184345
BsmtFinType1_GLQ,1499.3235739296206,1499.3235739296206
3SsnPorch,1474.0699933041235,1474.0699933041235
RoofStyle_Mansard,1442.2162976035622,1442.2162976035622
Neighborhood_NWAmes,-1421.0094604168207,1421.0094604168207
Neighborhood_IDOTRR,-1333.1031440743213,1333.1031440743213
GarageQual_Po,-1315.1580495773637,1315.1580495773637
Foundation_Wood,-1274.0430789083966,1274.0430789083966
Alley_Pave,1267.9639606339344,1267.9639606339344
MasVnrType_None,1255.646923350921,1255.646923350921
Neighborhood_NPkVill,1228.6898008294163,1228.6898008294163
HeatingQC_TA,-1226.637479584935,1226.637479584935
Fence_MnPrv,1192.10649027525,1192.10649027525
HouseStyle_1.5Unf,1154.7127472943441,1154.7127472943441
LotShape_IR2,1150.0814556518974,1150.0814556518974
BsmtFinSF2,1144.8249860196988,1144.8249860196988
SaleType_CWD,1029.2576704974638,1029.2576704974638
Condition1_RRAe,-1025.6585295247755,1025.6585295247755
Heating_OthW,-1024.2387154861387,1024.2387154861387
Condition1_PosN,1015.212435673744,1015.212435673744
Foundation_PConc,1009.107689567461,1009.107689567461
LotConfig_FR3,-1002.0912377833938,1002.0912377833938
RemodelAge,-964.0045874983401,964.0045874983401
Heating_Wall,957.2850113582397,957.2850113582397
Neighborhood_Somerst,948.6398744503877,948.6398744503877
LotConfig_FR2,-930.4343360505113,930.4343360505113
Condition1_RRAn,925.4699975007579,925.4699975007579
Utilities_NoSeWa,-916.6526505310142,916.6526505310142
SaleType_ConLD,906.4604853368251,906.4604853368251
Foundation_Slab,-904.0157560547037,904.0157560547037
Exterior1st_CemntBd,898.0959111011103,898.0959111011103
SaleType_Con,881.1050122100507,881.1050122100507
LandSlope_Mod,861.7627628065034,861.7627628065034
Exterior2nd_Other,-856.9412437512226,856.9412437512226
MasVnrType_Stone,833.8310145989782,833.8310145989782
Heating_GasA,831.8193519184226,831.8193519184226
BsmtHalfBath,-823.6001739098333,823.6001739098333
MoSold,-813.2816758953268,813.2816758953268
Exterior2nd_Wd Sdng,813.0833759689219,813.0833759689219
Exterior2nd_Stone,-808.1333444523431,808.1333444523431
Neighborhood_Veenker,799.8330610801224,799.8330610801224
Exterior1st_WdShing,-788.006912759402,788.006912759402
GarageQual_Gd,-781.1753690493462,781.1753690493462
Foundation_Stone,767.7838555361212,767.7838555361212
FireplaceQu_Po,766.3384166314897,766.3384166314897
Condition1_Feedr,708.9872181079115,708.9872181079115
BsmtExposure_Mn,-683.1971684578392,683.1971684578392
BsmtCond_Po,674.831865899792,674.831865899792
GarageFinish_Unf,639.8661444602362,639.8661444602362
SaleType_New,635.3108629408459,635.3108629408459
SaleCondition_AdjLand,631.5928865156857,631.5928865156857
RoofMatl_Metal,630.4288656157457,630.4288656157457
Neighborhood_BrkSide,630.2210553507516,630.2210553507516
Functional_Min1,-623.1164852679191,623.1164852679191
Exterior1st_Stone,614.6918355882309,614.6918355882309
MSZoning_RH,-605.762866081392,605.762866081392
BsmtFinType2_BLQ,-603.510298817595,603.510298817595
YearRemodAdd,602.8115544205556,602.8115544205556
Exterior2nd_AsphShn,578.1252280932979,578.1252280932979
Neighborhood_BrDale,570.4318268215072,570.4318268215072
FullBath,544.166108910818,544.166108910818
BsmtFinType2_LwQ,-526.1426424336104,526.1426424336104
Exterior2nd_Wd Shng,-522.910647012109,522.910647012109
Fence_None,518.3336526165147,518.3336526165147
Heating_Grav,-513.8367961847324,513.8367961847324
GarageType_CarPort,501.55285770549455,501.55285770549455
LandContour_Low,-497.95809378003383,497.95809378003383
MiscFeature_None,459.2381732669651,459.2381732669651
RoofMatl_Tar&Grv,450.77725414767315,450.77725414767315
GarageType_Detchd,443.48208520319713,443.48208520319713
SaleType_WD,-419.07949108631976,419.07949108631976
Exterior1st_Wd Sdng,-390.76172578543367,390.76172578543367
GarageType_Basment,378.571986981966,378.571986981966
RoofStyle_Gambrel,341.7557769183358,341.7557769183358
Exterior1st_AsphShn,-339.64195587816016,339.64195587816016
HouseStyle_SFoyer,-336.253529990682,336.253529990682
Functional_Maj2,-332.204115992679,332.204115992679
Fence_MnWw,-327.32988927140775,327.32988927140775
Exterior1st_VinylSd,-322.319550328161,322.319550328161
Condition1_RRNe,317.24159178637177,317.24159178637177
GarageCond_Po,312.76111744340835,312.76111744340835
LotShape_IR3,309.74815069263514,309.74815069263514
MiscFeature_Othr,-307.14680476389503,307.14680476389503
Functional_Min2,305.0075527872796,305.0075527872796
ExterQual_Fa,-301.621098641146,301.621098641146
SaleType_Oth,296.03205641385307,296.03205641385307
GarageFinish_RFn,-282.7888081596082,282.7888081596082
RoofStyle_Gable,-275.9834225111349,275.9834225111349
PavedDrive_P,-273.59226378547356,273.59226378547356
Condition1_RRNn,261.26216380912064,261.26216380912064
LotShape_Reg,260.598159080388,260.598159080388
BsmtFinType2_Rec,-256.2735493024462,256.2735493024462
OpenPorchSF,-248.80130702561073,248.80130702561073
CentralAir_Y,246.74155740100653,246.74155740100653
Condition1_PosA,-237.41389147881694,237.41389147881694
GarageCond_Gd,-235.8062395089674,235.8062395089674
Functional_Mod,-219.2613049136464,219.2613049136464
Neighborhood_Gilbert,-213.89475492921676,213.89475492921676
Fence_GdWo,213.77979294491155,213.77979294491155
PavedDrive_Y,212.75457885060214,212.75457885060214
Alley_None,-204.58021329501915,204.58021329501915
Electrical_FuseF,-200.88715087907835,200.88715087907835
BsmtFinType1_LwQ,-191.73549010302642,191.73549010302642
BsmtFinType1_Unf,-187.27641080629093,187.27641080629093
Neighborhood_SawyerW,180.83705297606843,180.83705297606843
BsmtFinType1_BLQ,174.08327014259686,174.08327014259686
HasFireplace,-156.054803681246,156.054803681246
Exterior1st_CBlock,-151.46252614827776,151.46252614827776
Neighborhood_Timber,-151.38650159045292,151.38650159045292
LotConfig_Inside,150.3473430468796,150.3473430468796
HouseStyle_2.5Unf,-146.14466263100203,146.14466263100203
Neighborhood_CollgCr,-119.75240200883002,119.75240200883002
SaleType_ConLI,-119.63745905943243,119.63745905943243
Exterior2nd_HdBoard,-115.91526935984156,115.91526935984156
FireplaceQu_Fa,-112.39728408357911,112.39728408357911
RoofMatl_WdShake,108.47662837233102,108.47662837233102
Exterior2nd_Brk Cmn,-101.78509321585373,101.78509321585373
Foundation_CBlock,100.85516460984763,100.85516460984763
Exterior2nd_BrkFace,78.58714258894807,78.58714258894807
RoofMatl_Roll,73.65224838700792,73.65224838700792
SaleCondition_Family,-67.0816459594492,67.0816459594492
Neighborhood_MeadowV,-63.34837589469856,63.34837589469856
Exterior1st_MetalSd,59.52075093636792,59.52075093636792
Neighborhood_SWISU,-47.55585192199125,47.55585192199125
BsmtFinType1_Rec,34.70103577076281,34.70103577076281
BsmtExposure_None,-34.361637287595585,34.361637287595585
GarageType_BuiltIn,28.46243424754278,28.46243424754278
Condition2_RRAn,27.867666055662884,27.867666055662884
Condition2_Norm,-27.462895133512543,27.462895133512543
BsmtCond_None,-23.174513493560283,23.174513493560283
MiscFeature_TenC,-20.59481504022681,20.59481504022681
Exterior2nd_CBlock,-14.95654499057039,14.95654499057039
PoolQC_None,13.057532559800183,13.057532559800183
LowQualFinSF,-12.784903541058895,12.784903541058895
EnclosedPorch,5.481159330940952,5.481159330940952
ExterCond_Gd,-5.161113342235641,5.161113342235641
Exterior2nd_Stucco,4.852406014547525,4.852406014547525
